COUNTY,15TOTAL,15MTOTAL,15M0004,15M0509,15M1014,15M1519,15M2024,15M2529,15M3034,15M3539,15M4044,15M4549,15M5054,15M5559,15M6064,15M6569,15M7074,15M7579,15M8084,15M8589,15M90OV,15FTOTAL,15F0004,15F0509,15F1014,15F1519,15F2024,15F2529,15F3034,15F3539,15F4044,15F4549,15F5054,15F5559,15F6064,15F6569,15F7074,15F7579,15F8084,15F8589,15F90OV,20TOTAL,20MTOTAL,20M0004,20M0509,20M1014,20M1519,20M2024,20M2529,20M3034,20M3539,20M4044,20M4549,20M5054,20M5559,20M6064,20M6569,20M7074,20M7579,20M8084,20M8589,20M90OV,20FTOTAL,20F0004,20F0509,20F1014,20F1519,20F2024,20F2529,20F3034,20F3539,20F4044,20F4549,20F5054,20F5559,20F6064,20F6569,20F7074,20F7579,20F8084,20F8589,20F90OV,25TOTAL,25MTOTAL,25M0004,25M0509,25M1014,25M1519,25M2024,25M2529,25M3034,25M3539,25M4044,25M4549,25M5054,25M5559,25M6064,25M6569,25M7074,25M7579,25M8084,25M8589,25M90OV,25FTOTAL,25F0004,25F0509,25F1014,25F1519,25F2024,25F2529,25F3034,25F3539,25F4044,25F4549,25F5054,25F5559,25F6064,25F6569,25F7074,25F7579,25F8084,25F8589,25F90OV
Fairfield County,932377,454179,26592,29762,32816,35161,28085,23571,28374,28833,30762,34654,36467,33728,26347,20304,14342,9242,7172,5096,2871,478198,25303,28182,31596,33645,26634,22255,28481,30191,32863,37554,39393,35609,27844,22810,17133,12609,10454,8802,6840,944692,460942,26479,27129,30414,33766,31411,25756,25516,30689,30415,31200,33923,35073,31256,23512,17438,11759,6981,4857,3368,483750,25196,25813,29036,32847,29898,24253,24934,31364,32120,33561,36842,38131,33342,25121,20387,14951,10446,7938,7570,954479,466169,26462,27016,27782,31365,30021,29061,27689,27847,32257,30858,30519,32587,32549,28160,20410,14448,8966,4744,3428,488310,25178,25706,26667,30288,29101,27514,26931,27821,33289,32825,32880,35608,35810,30420,22579,17912,12412,7957,7412
Hartford County,910924,440759,25355,25764,29406,33121,30850,24863,29354,27487,27719,30978,33862,32927,27047,21925,14901,9987,7280,5098,2835,470165,24237,25157,28110,31889,27594,24866,30509,28426,29414,32908,36725,35451,30018,25270,17950,13412,11528,9499,7202,925492,448197,25573,25505,26740,32088,32048,27335,25884,30595,28170,27794,30459,32810,31125,24784,19272,12594,7629,4733,3059,477295,24445,24318,26244,30706,29707,25117,27047,32149,29493,29892,32886,36135,34234,28064,23135,16038,11289,8743,7653,936810,453701,25294,25724,26481,29424,31020,28526,28340,27143,31250,28242,27340,29501,31008,28611,21873,16343,9643,4966,2972,483109,24180,24527,25406,28841,28527,27226,27298,28700,33192,29972,29907,32357,34901,32091,25753,20689,13504,8581,7457
Litchfield County,192188,94588,3930,5015,6158,6826,5627,3437,4327,4769,5833,7527,8439,8692,7462,6101,4145,2697,1826,1216,561,97600,3742,4512,5814,6472,4937,3259,4352,5122,6176,7736,8871,8951,7616,6418,4618,3136,2450,1945,1473,193116,95035,3727,4155,5489,6556,6034,4506,3343,4761,5316,6214,7667,8496,8511,7028,5542,3671,2132,1246,641,98081,3548,3967,4954,6133,5628,3940,3351,4950,5696,6527,7952,8896,8880,7419,6096,4130,2656,1844,1514,193112,94894,3799,3952,4629,5888,5765,4910,4408,3787,5308,5705,6376,7742,8322,8011,6385,4889,2895,1455,668,98218,3619,3772,4409,5274,5289,4630,4031,3952,5524,6050,6755,7993,8825,8644,7043,5438,3481,2007,1482
Middlesex County,168833,82432,3767,4280,5183,6086,5205,3581,4213,4511,5202,6353,7038,6990,5966,5156,3488,2248,1579,1065,521,86401,3587,4078,4900,5770,4489,3483,4403,4790,5460,6724,7448,7281,6524,5389,4047,2661,2140,1773,1454,170518,83141,3565,3851,4498,5883,5660,4232,3497,4498,4796,5320,6422,7006,6782,5754,4717,3072,1865,1093,630,87377,3394,3652,4282,5550,5179,3670,3564,4830,5052,5691,6850,7525,7293,6323,5142,3722,2345,1681,1632,170976,83168,3489,3649,4069,5198,5459,4683,4144,3787,4782,4921,5407,6408,6798,6525,5255,4124,2522,1279,669,87808,3323,3460,3857,4931,4959,4360,3751,3994,5091,5284,5824,6937,7531,7063,6017,4703,3241,1830,1652
New Haven County,881374,424925,24386,24514,26811,32827,30336,25712,28852,26305,25886,29688,32179,31416,25737,21094,14814,9578,7204,4855,2731,456449,23184,23388,25937,32095,28940,27358,30663,27720,27890,31726,33925,33712,28478,24424,17542,12602,10826,8825,7214,898514,433618,24981,23969,25072,30809,31564,26479,26978,29828,26597,25948,29558,31532,29851,23646,18924,12657,7566,4690,2969,464896,23750,22838,23820,30507,30373,26224,29644,31768,28338,28180,31528,33594,32721,26894,22507,15845,10841,8045,7479,912056,440087,24701,24564,24527,29072,29559,27698,27739,27965,30087,26652,25895,28991,29954,27466,21234,16124,9946,4930,2983,471969,23483,23404,23270,28391,28787,27655,28511,30751,32366,28631,28031,31239,32602,30930,24797,20274,13551,8079,7217
New London County,279755,139989,7284,7750,8347,9750,10936,9102,8862,7861,8358,9664,10977,10871,9205,7432,5206,3277,2516,1684,907,139766,6899,7141,8043,9121,8515,7178,8232,7902,8657,10269,11284,11143,9421,7940,5894,4109,3314,2564,2140,283665,142149,7245,7220,7862,9410,10921,8968,8932,8766,7982,8426,9549,10765,10529,8766,6592,4548,2698,1772,1198,141516,6861,6841,7264,8665,8718,7367,7433,8456,8323,8811,10225,11210,10942,9171,7494,5338,3482,2458,2457,285773,143276,7137,7181,7333,8925,10582,8954,8799,8837,8880,8056,8334,9375,10426,10008,7782,5742,3689,1896,1340,142497,6759,6803,6964,7887,8262,7569,7623,7661,8874,8481,8785,10169,11007,10632,8645,6763,4490,2580,2543
Tolland County,155924,78401,3219,3736,4725,7698,8790,5015,3877,3771,4625,5488,6266,6137,4768,3779,2776,1635,1068,668,360,77523,3073,3591,4426,7614,7598,4087,3589,3844,4710,5709,6253,6231,4960,3959,2787,1833,1354,1065,840,158606,79351,3340,3385,4097,7501,9472,4993,4580,3689,3896,4697,5341,6073,5731,4395,3379,2374,1291,688,429,79255,3190,3235,3946,7336,8345,3923,4005,3860,4250,4997,5788,6240,6049,4646,3575,2422,1492,1013,943,160759,79986,3500,3506,3746,6873,9275,5671,4557,4388,3815,3975,4562,5169,5670,5301,3946,2888,1859,825,460,80773,3342,3351,3590,6857,8068,4669,3841,4274,4267,4541,5085,5783,6057,5688,4201,3109,1977,1112,961
Windham County,122718,61100,3188,3382,3820,4911,4736,3417,3523,3726,4072,4341,4897,4729,3873,3118,2140,1410,948,596,273,61618,3035,3228,3657,4550,4253,3163,3458,3667,4094,4394,5011,4881,4129,3217,2312,1671,1293,843,762,126432,63120,3192,3235,3540,4716,4834,3817,3426,3728,3943,4187,4392,4854,4599,3707,2866,1923,1168,658,335,63312,3038,3039,3407,4558,4367,3332,3216,3741,3906,4250,4488,5020,4854,3923,3010,2116,1430,866,751,129527,64764,3236,3239,3393,4435,4640,3914,3823,3633,3945,4061,4241,4363,4715,4395,3402,2561,1583,808,377,64763,3079,3042,3219,4307,4374,3446,3385,3500,3980,4063,4345,4506,4989,4617,3669,2734,1792,955,761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
